cluster_id,normalised_title,year,candidate_id,title,publisher,source_url,text_sha256,decision
21,resilient lonmin beats guidance ups cash,2017,DISC-MEDIA-0615,Resilient Lonmin Beats Guidance Ups Cash,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-03,67db72a5645e9ed3679c8760ea24fef51058365933ee3dd26a62017f9851fb99,manual_review_same_title_year
21,resilient lonmin beats guidance ups cash,2017,DISC-MEDIA-0616,Resilient Lonmin Beats Guidance Ups Cash,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-beats-guidance-ups-cash-2017-11-17,3c56f201c727bddfb6f29392048bd54360f02178a8dc03842991e4302cf6e936,manual_review_same_title_year
22,resilient lonmin delivers sturdy output extracts cash from tailings,2018,DISC-MEDIA-0617,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-01-22,cfa6a8f0f1a4ff17999a5be272bc6e18f19fd185001ee71047e2f6d4d186f5d8,manual_review_same_title_year
22,resilient lonmin delivers sturdy output extracts cash from tailings,2018,DISC-MEDIA-0618,Resilient Lonmin Delivers Sturdy Output Extracts Cash From Tailings,Engineering News,https://www.engineeringnews.co.za/article/resilient-lonmin-delivers-sturdy-output-extracts-cash-from-tailings-2018-02-02,3f20f1a16825ca1184cb35399d4b7b003b606471d2093a8f19fc870c04c43815,manual_review_same_title_year
23,sa mining challenges about far more than marikana migrant labour manuel,2013,DISC-MEDIA-0625,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,Engineering News,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-08-30,80ececfcf5fc05138b592bf2932ea62b9401bb80e848eac1eb2e2e46b575ec2d,manual_review_same_title_year
23,sa mining challenges about far more than marikana migrant labour manuel,2013,DISC-MEDIA-0626,Sa Mining Challenges About Far More Than Marikana Migrant Labour Manuel,Engineering News,https://www.engineeringnews.co.za/article/sa-mining-challenges-about-far-more-than-marikana-migrant-labour-manuel-2013-09-13,5c591c3630a84c9e7c37111ba190192a6323e86600c4fb2a797b5d63aea5d12e,manual_review_same_title_year
24,sibanye highlights lonmin drdgold deal attractions at denver,2018,DISC-MEDIA-0638,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,Engineering News,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-09-26,d816885c542818371ab4064013ad258713dad3688a820ad924ce86013bdfbccc,manual_review_same_title_year
24,sibanye highlights lonmin drdgold deal attractions at denver,2018,DISC-MEDIA-0639,Sibanye Highlights Lonmin Drdgold Deal Attractions At Denver,Engineering News,https://www.engineeringnews.co.za/article/sibanye-highlights-lonmin-drdgold-deal-attractions-at-denver-2018-10-05,67229446c6cf56c28e6c58ae54701711bedb3303d4ebcdbc94ece28a0c6cc4d2,manual_review_same_title_year
25,sibanye plans to cut 5 270 jobs as it restructures marikana operations,2019,MEDIA-051,Sibanye plans to cut 5 270 jobs as it restructures Marikana operations,Mining Weekly,https://www.miningweekly.com/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-09-25,e71f25a7e3e093cbdf796ff91aa46bba8425c4b9cf21e82789161f1ff62a1674,manual_review_same_title_year
25,sibanye plans to cut 5 270 jobs as it restructures marikana operations,2019,DISC-MEDIA-0646,Sibanye Plans To Cut 5 270 Jobs As It Restructures Marikana Operations,Engineering News,https://www.engineeringnews.co.za/article/sibanye-plans-to-cut-5-270-jobs-as-it-restructures-marikana-operations-2019-10-04,23b3e9e311d26c3d153544a9e74e0b3ea684e75dc3bf89350600285579e2da4f,manual_review_same_title_year
26,south africa must prosecute 2012 marikana deaths amnesty says,2017,DISC-MEDIA-0662,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,Engineering News,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-15,7d9fb8a5c5145ada6bd6ede951ec9936f8f830fa6c0f195e8c1cac342dba76b9,manual_review_same_title_year
26,south africa must prosecute 2012 marikana deaths amnesty says,2017,DISC-MEDIA-0663,South Africa Must Prosecute 2012 Marikana Deaths Amnesty Says,Engineering News,https://www.engineeringnews.co.za/article/south-africa-must-prosecute-2012-marikana-deaths-amnesty-says-2017-08-25,f995259d5af04afcbc1a66d103ca906cac1533abc1588f4556fcc06f1ba41124,manual_review_same_title_year
27,strike hit mothers have no food to put on the table lonmin,2014,MEDIA-033,Strike-hit mothers have no food to put on the table – Lonmin,Mining Weekly,https://www.miningweekly.com/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-03,d0d8ad3f9a97f83d690cfdf1aee34adabd26c811affcb9d66b3a98536ae8f3dc,manual_review_same_title_year
27,strike hit mothers have no food to put on the table lonmin,2014,DISC-MEDIA-0666,Strike Hit Mothers Have No Food To Put On The Table Lonmin,Engineering News,https://www.engineeringnews.co.za/article/strike-hit-mothers-have-no-food-to-put-on-the-table-lonmin-2014-04-11,b061ee2c026f1e1ded40fb14df1df21e6dd308eb67d2e47baa13669c4bf671fa,manual_review_same_title_year
28,thakadu to build 14m nickel beneficiation plant at lonmin refinery,2016,DISC-MEDIA-0668,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,Engineering News,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-16,656b18354ccff198786705a6fb24b5ff13ad0b440b11bde71cda80aa55f95686,manual_review_same_title_year
28,thakadu to build 14m nickel beneficiation plant at lonmin refinery,2016,DISC-MEDIA-0669,Thakadu To Build 14M Nickel Beneficiation Plant At Lonmin Refinery,Engineering News,https://www.engineeringnews.co.za/article/thakadu-to-build-14m-nickel-beneficiation-plant-at-lonmin-refinery-2016-11-25,3e0aca1add64ed2fcc1c83ae8ecd5d1b357e4278d68ca395dafa69ddafe46709,manual_review_same_title_year
29,tribunal approves sibanye lonmin merger imposes 6 month moratorium on retrenchments,2018,MEDIA-047,"Tribunal approves Sibanye, Lonmin merger; imposes 6-month moratorium on retrenchments",Mining Weekly,https://www.miningweekly.com/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-21,bd469379229593a9cc3e5c58797db128797998c4ad643dda47ed2ae4c856fb90,manual_review_same_title_year
29,tribunal approves sibanye lonmin merger imposes 6 month moratorium on retrenchments,2018,DISC-MEDIA-0675,Tribunal Approves Sibanye Lonmin Merger Imposes 6 Month Moratorium On Retrenchments,Engineering News,https://www.engineeringnews.co.za/article/tribunal-approves-sibanye-lonmin-merger-imposes-6-month-moratorium-on-retrenchments-2018-11-30,b406120e356cb5dab6400531abf70630b6104339cf5e9aa55feaf33e1cb0a678,manual_review_same_title_year
30,union puts chamber on spot over alleged lonmin breach,2013,expanded_media_candidates__EXP-MEDIA-007,Union puts chamber on spot over alleged Lonmin breach,Mining Weekly,https://www.miningweekly.com/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-09-06,56b906b531737f7fa445d9308653221bc70f434a3d77f16926dd9f60e0317c57,manual_review_same_title_year
30,union puts chamber on spot over alleged lonmin breach,2013,DISC-MEDIA-0679,Union Puts Chamber On Spot Over Alleged Lonmin Breach,Engineering News,https://www.engineeringnews.co.za/article/union-puts-chamber-on-spot-over-alleged-lonmin-breach-2013-08-26,bb5e22137754d5669e142c5ee06507f6ba95eab31c2201387514e63314cebaf5,manual_review_same_title_year
