text_sha256,cluster_size,canonical_id,candidate_id,is_canonical,title,year,publisher,source_url,metadata_source
9d912013d21925bb2185899c422d707ce1603f28416115e57f40dfd8ef712a01,2,EXP-MEDIA-055,EXP-MEDIA-055,true,"Marikana Massacre: 'He is fine, let him die'",2017,Daily Maverick,https://www.dailymaverick.co.za/article/2017-03-20-marikana-massacre-he-is-fine-let-him-die/,expanded_media_candidates_batch2.csv
9f6fdfe27a325bea23bbbbba8983e050139ebc06d24afd25c0dce6eb8a9be18b,2,expanded_media_candidates_02__EXP-MEDIA-048,expanded_media_candidates_02__EXP-MEDIA-048,true,Cyril Ramaphosa: The true betrayal,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-27-cyril-ramaphosa-the-true-betrayal/,expanded_media_candidates_02.csv
9f6fdfe27a325bea23bbbbba8983e050139ebc06d24afd25c0dce6eb8a9be18b,2,expanded_media_candidates_02__EXP-MEDIA-048,expanded_media_candidates_batch1__EXP-MEDIA-009,false,Cyril Ramaphosa: The true betrayal,2012,Daily Maverick,https://www.dailymaverick.co.za/article/2012-10-27-cyril-ramaphosa-the-true-betrayal/,expanded_media_candidates_batch1.csv
a4028b0469f47c91edd08cf951e53adb7830645fb37608c81622fc07ae5c6aed,2,MEDIA-019,MEDIA-019,true,Marikana: The unfolding of a never-ending tragedy,2021,Daily Maverick,https://www.dailymaverick.co.za/article/2021-08-14-marikana-the-unfolding-of-a-never-ending-tragedy/,retrieval_manifest
a4028b0469f47c91edd08cf951e53adb7830645fb37608c81622fc07ae5c6aed,2,MEDIA-019,SAT6-MEDIA-002,false,Marikana: The unfolding of a never-ending tragedy,2021,Daily Maverick,https://www.dailymaverick.co.za/article/2021-08-14-marikana-the-unfolding-of-a-never-ending-tragedy/,expanded_media_candidates_saturation_batch6.csv
b2af45e17550f0b05990f74d4c1ab401cd4d24405b9814d796763ee4fe596711,2,expanded_corporate_candidates__EXP-CORP-002,expanded_corporate_candidates__EXP-CORP-002,true,Lonmin Plc Annual Report and Accounts 2011,2011,Lonmin Plc,https://www.annualreports.co.uk/HostedData/AnnualReportArchive/l/LSE_LMI_2011.pdf,source_overrides
b2af45e17550f0b05990f74d4c1ab401cd4d24405b9814d796763ee4fe596711,2,expanded_corporate_candidates__EXP-CORP-002,expanded_corporate_candidates_batch1__EXP-CORP-002,false,Lonmin Plc Annual Report and Accounts 2011,2011,Lonmin Plc,https://www.annualreports.co.uk/HostedData/AnnualReportArchive/l/LSE_LMI_2011.pdf,source_overrides
b3c9a6a8e3ea884723879deaf08dcbf70699096a6e5d8b3073e0c88d671af39a,2,expanded_media_candidates__EXP-MEDIA-024,expanded_media_candidates__EXP-MEDIA-024,true,Marikana report: Key findings and recommendations,2015,Daily Maverick,https://www.dailymaverick.co.za/article/2015-06-26-marikana-report-key-findings-and-recommendations/,expanded_media_candidates.csv
b3c9a6a8e3ea884723879deaf08dcbf70699096a6e5d8b3073e0c88d671af39a,2,expanded_media_candidates__EXP-MEDIA-024,expanded_media_candidates_batch1__EXP-MEDIA-020,false,Marikana report: Key findings and recommendations,2015,Daily Maverick,https://www.dailymaverick.co.za/article/2015-06-26-marikana-report-key-findings-and-recommendations/,expanded_media_candidates_batch1.csv
baeec3a7c99a7b343170c0de105cbfefd58992bce68d843c8efaa264ce12213f,2,EXP-OFFICIAL-015,expanded_official_candidates__EXP-OFFICIAL-012,false,Monene Family Heads of Argument,2014,Monene Family / SERI archive,https://www.seri-sa.org/images/Monene_Heads.pdf,expanded_official_candidates.csv
