min_matched_sentences,min_distinct_families,mode,delta,criterion,base_weight,A_weighted_pressure_G_j,revised_weight,change_from_base
2,1,salience_times_contention,0.0,Local Employment,0.15,0.7431266521034187,0.15,0.0
2,1,salience_times_contention,0.0,Community Infrastructure,0.1,0.5250399758781384,0.1,0.0
2,1,salience_times_contention,0.1,NPV,0.25,0.031282150166366984,0.24605039000294893,-0.003949609997051073
2,1,salience_times_contention,0.1,IRR,0.2,0.014259562144532875,0.19650628376078985,-0.0034937162392101595
2,1,salience_times_contention,0.1,Geological Feasibility,0.15,0.09876357542289904,0.1486233571591346,-0.0013766428408653886
2,1,salience_times_contention,0.1,Market Stability,0.15,0.01896454700443803,0.14744895601457744,-0.002551043985422552
2,1,salience_times_contention,0.1,Local Employment,0.15,0.7431266521034187,0.15810643921867645,0.008106439218676459
2,1,salience_times_contention,0.1,Community Infrastructure,0.1,0.5250399758781384,0.10326457384387278,0.00326457384387277
2,1,salience_times_contention,0.3,NPV,0.25,0.031282150166366984,0.238582030138565,-0.011417969861435007
2,1,salience_times_contention,0.3,IRR,0.2,0.014259562144532875,0.18989997828811156,-0.010100021711888452
2,1,salience_times_contention,0.3,Geological Feasibility,0.15,0.09876357542289904,0.1460202484603043,-0.003979751539695681
2,1,salience_times_contention,0.3,Market Stability,0.15,0.01896454700443803,0.14262515960753142,-0.007374840392468579
2,1,salience_times_contention,0.3,Local Employment,0.15,0.7431266521034187,0.1734349919995924,0.023434991999592397
2,1,salience_times_contention,0.3,Community Infrastructure,0.1,0.5250399758781384,0.10943759150589527,0.009437591505895265
2,1,salience_times_contention,0.5,NPV,0.25,0.031282150166366984,0.23163775817351365,-0.018362241826486353
2,1,salience_times_contention,0.5,IRR,0.2,0.014259562144532875,0.183757266538874,-0.016242733461126008
2,1,salience_times_contention,0.5,Geological Feasibility,0.15,0.09876357542289904,0.1435998114316235,-0.006400188568376486
2,1,salience_times_contention,0.5,Market Stability,0.15,0.01896454700443803,0.13813987036560382,-0.011860129634396172
2,1,salience_times_contention,0.5,Local Employment,0.15,0.7431266521034187,0.18768787232060596,0.03768787232060597
2,1,salience_times_contention,0.5,Community Infrastructure,0.1,0.5250399758781384,0.11517742116977903,0.01517742116977902
2,1,salience_times_contention,0.8,NPV,0.25,0.031282150166366984,0.22208937237396031,-0.027910627626039686
2,1,salience_times_contention,0.8,IRR,0.2,0.014259562144532875,0.1753110274036049,-0.024688972596395103
2,1,salience_times_contention,0.8,Geological Feasibility,0.15,0.09876357542289904,0.14027170638768488,-0.009728293612315114
2,1,salience_times_contention,0.8,Market Stability,0.15,0.01896454700443803,0.13197259000561087,-0.01802740999438912
2,1,salience_times_contention,0.8,Local Employment,0.15,0.7431266521034187,0.20728560707880858,0.05728560707880859
2,1,salience_times_contention,0.8,Community Infrastructure,0.1,0.5250399758781384,0.12306969675033047,0.023069696750330465
2,1,salience_only,0.0,NPV,0.25,0.03425533287855602,0.25,0.0
2,1,salience_only,0.0,IRR,0.2,0.015178657514298434,0.2,0.0
2,1,salience_only,0.0,Geological Feasibility,0.15,0.09803584652179755,0.15,0.0
2,1,salience_only,0.0,Market Stability,0.15,0.020857228284408506,0.15,0.0
2,1,salience_only,0.0,Local Employment,0.15,0.7433989540616389,0.15,0.0
2,1,salience_only,0.0,Community Infrastructure,0.1,0.5424309706686128,0.1,0.0
2,1,salience_only,0.1,NPV,0.25,0.03425533287855602,0.24605374718314904,-0.003946252816850959
2,1,salience_only,0.1,IRR,0.2,0.015178657514298434,0.19646876868405622,-0.0035312313159437947
2,1,salience_only,0.1,Geological Feasibility,0.15,0.09803584652179755,0.14857063988107638,-0.0014293601189236116
2,1,salience_only,0.1,Market Stability,0.15,0.020857228284408506,0.14743512433419748,-0.0025648756658025185
2,1,salience_only,0.1,Local Employment,0.15,0.7433989540616389,0.1580657547034168,0.008065754703416805
2,1,salience_only,0.1,Community Infrastructure,0.1,0.5424309706686128,0.10340596521410406,0.003405965214104051
2,1,salience_only,0.3,NPV,0.25,0.03425533287855602,0.23859782979920258,-0.011402170200797423
