candidate_id,title,year,publisher,metadata_source,source_url,final_url,raw_sha256,text_sha256,text_words
CORP-004,Lonmin Plc Annual Report and Accounts 2016,2016,Lonmin Plc,source_overrides,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2015.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2015.pdf,0b06b6e678dd0f17b5ab74e54f82425a26d5458f6b8e3dd6cdc2e6b1535d3ff2,372d89213c079051a4bac59399ddaf01baedebdbccd07650d6011a60108bbdb9,147501
CORP-006,Lonmin Plc Annual Report and Accounts 2017,2017,Lonmin Plc,source_overrides,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/final-offer/lonmin-year-end-30september2017.pdf,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/final-offer/lonmin-year-end-30september2017.pdf,f090e434d42905aa01f232e8493c64ad1c6a824dde130028015ca0f649e84de4,cd825ea998391515fea0962ac1b0e7dfe0f85ff11af04c754283eea3fbdab665,41631
CORP-007,Lonmin Plc Annual Report and Accounts 2018,2018,Lonmin Plc,source_overrides,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/lonmin-annual-report-2018.pdf,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/lonmin-annual-report-2018.pdf,0b036a9e37cb21e6d33758be4da2dd9059b6725d4ecfab1f01ac810e169f5231,17dd284cce4cfd55bf9698e2ed0ad6bec3e5f35317fdca75fc0db181ffc07d55,98841
CORP-008,Sibanye-Stillwater Integrated Report 2019,2019,Sibanye-Stillwater,source_overrides,https://reports.sibanyestillwater.com/2019/,https://reports.sibanyestillwater.com/2019/,55c6ddef1eec065de4043dfb8eb2d890cceafef9b7d8b3c66f3354b0f197797f,fbe4d902b6f9bb236364d0ad746066f34f4390f05ce19eaa6d47cd0873cf5f04,325
CORP-009,Sibanye-Stillwater Integrated Report 2020,2020,Sibanye-Stillwater,source_overrides,https://reports.sibanyestillwater.com/2020/,https://reports.sibanyestillwater.com/2020/,aca8ef99242987bf4001b7a553792ddd0cd9cbc50b1f3ab55c0145174f4cc810,09efb0bae2902b52bb5afd71974c067e54a5db339737805e2ca6d866e856e80b,2730
CORP-010,Sibanye-Stillwater Integrated Report 2021,2021,Sibanye-Stillwater,source_overrides,https://reports.sibanyestillwater.com/2021/,https://reports.sibanyestillwater.com/2021/,7d059bbe319f9b97b912304a02f91c88b41686ef95e759dca6acc6b64e7aacbb,3be4a7993f2e0aa61c4778d8c7eba2f22f8fe400c7d5baae905685b1f8d4157a,3227
CORP-011,Sibanye-Stillwater Integrated Report 2022,2022,Sibanye-Stillwater,source_overrides,https://reports.sibanyestillwater.com/2022/,https://reports.sibanyestillwater.com/2022/,250ece84ddcf6d2bfd565368cd8d3f58b932400b7ad57e57551b6010968470e7,919e88000e6205c2a277b8445e630e8939fb7889aae8c4bcab3dca946e1619a5,301
CORP-012,Sibanye-Stillwater Integrated Report 2023,2023,Sibanye-Stillwater,source_overrides,https://reports.sibanyestillwater.com/2023/,https://reports.sibanyestillwater.com/2023/,e4e29f868f802c854d098e0649003884f4dfe38e358fed150affd862be856eb2,29655d83953b9e9c9f469ae12314d18edec78828dbf7ff7adc8d578bec8e7791,2224
expanded_corporate_candidates__EXP-CORP-001,Lonmin Plc Annual Report and Accounts 2010,2010,Lonmin Plc,expanded_corporate_candidates.csv,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2010.pdf,https://www.annualreports.com/HostedData/AnnualReportArchive/l/LSE_LMI_2010.pdf,3edf9c2173aa3e7a6ff2c8c9b475677dab0f95748fc4e5acab3a48c0f9b6a85f,a5b56788736894d75b585aa7608def072009c822ba941d76f6bab550023c7c8c,91533
expanded_corporate_candidates__EXP-CORP-002,Lonmin Plc Annual Report and Accounts 2011,2011,Lonmin Plc,source_overrides,https://www.annualreports.co.uk/HostedData/AnnualReportArchive/l/LSE_LMI_2011.pdf,https://www.annualreports.co.uk/HostedData/AnnualReportArchive/l/LSE_LMI_2011.pdf,7235b2867f000f1ad9efc51956ab14fd7fc4ff031c0769adedca655b751938be,b2af45e17550f0b05990f74d4c1ab401cd4d24405b9814d796763ee4fe596711,79172
EXP-CORP-004,Lonmin Plc Sustainable Development Report 2016,2016,Lonmin Plc,expanded_corporate_candidates_batch1.csv,https://wikirate-production-storage.fra1.cdn.digitaloceanspaces.com/files/3336301/14042001.pdf,https://wikirate-production-storage.fra1.cdn.digitaloceanspaces.com/files/3336301/14042001.pdf,49c52996e06bbaca9ec0effe90baa77840e90af55a1d7593eddcb58eaf221d52,d96e2e1a1220a73d130ae2bd3280c4516c3981795a5fa9bb016fba953bfa178d,7215
EXP-CORP-005,Lonmin Plc Sustainable Development Report 2018,2018,Lonmin Plc,expanded_corporate_candidates_batch1.csv,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/1548855505-lonmin-sdr-2018.pdf,https://www.sibanyestillwater.com/wp-content/uploads/transactions/lonmin/1548855505-lonmin-sdr-2018.pdf,ea89361c8c0ff455cf7181ac52e9b323731648c89a9a7d23b2ebf5a86e959c34,7a8a85dd8f80bd7a7c9d0ba69c8b843607a969e9865c4ed3dcf0d4cf65994718,35874
CORP-NEWS-001,Sibanye-Stillwater enters Section 189 consultation with stakeholders at its Marikana operation and associated services,2019,Sibanye-Stillwater,expanded_corporate_candidates_news_releases.csv,https://www.resource-capital.ch/fileadmin/user_upload/25092019_EN_Sibanye-Stillwater_enters_Section_189_consultation_with_stakeholders_at_its_Marikana_operation_and_associated_services_25Sep2019.pdf,https://www.resource-capital.ch/fileadmin/user_upload/25092019_EN_Sibanye-Stillwater_enters_Section_189_consultation_with_stakeholders_at_its_Marikana_operation_and_associated_services_25Sep2019.pdf,9209a68c406f9cf0065425e2e97414fc16496d156cbc8a90c28618683ca4e079,fc8065262c46c2a7667b54c79978b8dc16ac30d71cc8f37c51ba7accc778c751,1438
CORP-NEWS-002,Constitutional Court of South Africa dismisses applications brought by Greater Lonmin Community,2019,Sibanye-Stillwater,expanded_corporate_candidates_news_releases.csv,https://thevault.exchange/?get_group_doc=245%2F1567694971-WithLogoConstitutionalCourtofSouthAfricadismissesapplicationsbroughtbyGreaterLonminCommunity5Sep2019.pdf,https://thevault.exchange/?get_group_doc=245%2F1567694971-WithLogoConstitutionalCourtofSouthAfricadismissesapplicationsbroughtbyGreaterLonminCommunity5Sep2019.pdf,474c3c024d6a8dfc7f0cc8b84b13410701605f23bb4f85831b2f9b6043fe1ffa,7bc0b9ee4b092a58e7c8f3cb4cb18a0cd30a266c32137cc7f6d01234d33e206d,1019
