publisher,url,canonical_url,year,prescreen_status
Daily Maverick,https://www.dailymaverick.co.za/article/2020-05-18-amcu-demands-universal-covid-19-testing-at-mines-but-that-is-not-about-to-happen/,https://dailymaverick.co.za/article/2020-05-18-amcu-demands-universal-covid-19-testing-at-mines-but-that-is-not-about-to-happen,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-05-26-arch-rivals-num-and-amcu-both-oppose-mantashe-on-mining-sector-restarting/,https://dailymaverick.co.za/article/2020-05-26-arch-rivals-num-and-amcu-both-oppose-mantashe-on-mining-sector-restarting,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-08-27-sibanye-stillwater-turns-dividend-tap-back-on-as-h1-earnings-soar/,https://dailymaverick.co.za/article/2020-08-27-sibanye-stillwater-turns-dividend-tap-back-on-as-h1-earnings-soar,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2020-11-03-mantashe-muddies-the-policy-waters-with-attack-on-sibanyes-bee-record/,https://dailymaverick.co.za/article/2020-11-03-mantashe-muddies-the-policy-waters-with-attack-on-sibanyes-bee-record,2020,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-02-18-earnings-surge-for-gold-fields-and-its-offspring-sibanye-which-is-shock-expanding-in-sa/,https://dailymaverick.co.za/article/2021-02-18-earnings-surge-for-gold-fields-and-its-offspring-sibanye-which-is-shock-expanding-in-sa,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-03-09-sibanye-says-anglogold-gold-fields-fit-acquisition-strategy/,https://dailymaverick.co.za/article/2021-03-09-sibanye-says-anglogold-gold-fields-fit-acquisition-strategy,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-03-24-sibanye-stillwaters-froneman-tells-pgm-conference-he-is-going-for-gold/,https://dailymaverick.co.za/article/2021-03-24-sibanye-stillwaters-froneman-tells-pgm-conference-he-is-going-for-gold,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-05-06-pgm-bonanza-sibanye-stillwater-posts-record-q1-earnings/,https://dailymaverick.co.za/article/2021-05-06-pgm-bonanza-sibanye-stillwater-posts-record-q1-earnings,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-05-16-commodity-price-boom-doesnt-change-sas-shoddy-investment-case-says-sibanyes-froneman/,https://dailymaverick.co.za/article/2021-05-16-commodity-price-boom-doesnt-change-sas-shoddy-investment-case-says-sibanyes-froneman,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-08-09-anglogold-interim-earnings-dip-its-ghana-mine-woes-mount-and-sibanye-signals-record-results/,https://dailymaverick.co.za/article/2021-08-09-anglogold-interim-earnings-dip-its-ghana-mine-woes-mount-and-sibanye-signals-record-results,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-09-16-sibanye-stillwater-invests-490m-in-us-lithium-joint-venture/,https://dailymaverick.co.za/article/2021-09-16-sibanye-stillwater-invests-490m-in-us-lithium-joint-venture,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-10-03-unions-once-again-present-united-front-this-time-in-sibanye-wage-talks/,https://dailymaverick.co.za/article/2021-10-03-unions-once-again-present-united-front-this-time-in-sibanye-wage-talks,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-10-21-sibanye-raises-gold-wage-offer-to-unions-talks-extended/,https://dailymaverick.co.za/article/2021-10-21-sibanye-raises-gold-wage-offer-to-unions-talks-extended,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-10-25-sibanye-stillwater-confirms-talks-to-acquire-nickel-and-copper-mines-in-brazil-that-may-cost-around-1-billion/,https://dailymaverick.co.za/article/2021-10-25-sibanye-stillwater-confirms-talks-to-acquire-nickel-and-copper-mines-in-brazil-that-may-cost-around-1-billion,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-10-26-sibanye-stillwater-digs-deep-to-seal-deal-for-brazillian-mining-assets/,https://dailymaverick.co.za/article/2021-10-26-sibanye-stillwater-digs-deep-to-seal-deal-for-brazillian-mining-assets,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-11-01-hospital-groups-recover-sibanye-goes-on-a-dealmaking-spree/,https://dailymaverick.co.za/article/2021-11-01-hospital-groups-recover-sibanye-goes-on-a-dealmaking-spree,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-11-24-deadlock-unions-set-to-apply-to-strike-against-sibanyes-gold-operations/,https://dailymaverick.co.za/article/2021-11-24-deadlock-unions-set-to-apply-to-strike-against-sibanyes-gold-operations,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-11-25-exclusive-joseph-mathunjwas-2019-election-as-amcu-president-set-aside-by-labour-court/,https://dailymaverick.co.za/article/2021-11-25-exclusive-joseph-mathunjwas-2019-election-as-amcu-president-set-aside-by-labour-court,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2021-12-03-exclusive-sibanye-to-bring-in-effective-mandatory-vaccine-policy-from-february-2022/,https://dailymaverick.co.za/article/2021-12-03-exclusive-sibanye-to-bring-in-effective-mandatory-vaccine-policy-from-february-2022,2021,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2022-01-12-free-state-municipality-and-sibanye-stillwater-mine-at-odds-on-accountability-after-wastewater-flows-on-to-farmland/,https://dailymaverick.co.za/article/2022-01-12-free-state-municipality-and-sibanye-stillwater-mine-at-odds-on-accountability-after-wastewater-flows-on-to-farmland,2022,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2022-01-13-ccma-issues-strike-certificate-to-unions-for-sibanye-stillwater-gold-strike/,https://dailymaverick.co.za/article/2022-01-13-ccma-issues-strike-certificate-to-unions-for-sibanye-stillwater-gold-strike,2022,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2022-01-24-sibanye-stillwater-pulls-the-plug-on-1bn-brazil-deal-after-geotechnical-event/,https://dailymaverick.co.za/article/2022-01-24-sibanye-stillwater-pulls-the-plug-on-1bn-brazil-deal-after-geotechnical-event,2022,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2022-01-25-appian-capital-up-in-legal-arms-over-sibanye-stillwater-collapsed-1bn-brazil-deal/,https://dailymaverick.co.za/article/2022-01-25-appian-capital-up-in-legal-arms-over-sibanye-stillwater-collapsed-1bn-brazil-deal,2022,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2022-03-03-sibanyes-record-earnings-overshadowed-by-safety-setback-looming-gold-mines-strike/,https://dailymaverick.co.za/article/2022-03-03-sibanyes-record-earnings-overshadowed-by-safety-setback-looming-gold-mines-strike,2022,secondary_keyword_only_review
Daily Maverick,https://www.dailymaverick.co.za/article/2022-03-07-failed-state-sibanyes-froneman-paints-bleak-picture-of-sa/,https://dailymaverick.co.za/article/2022-03-07-failed-state-sibanyes-froneman-paints-bleak-picture-of-sa,2022,secondary_keyword_only_review
