candidate_id,status,title,year,publisher,metadata_source,source_url,final_url,http_status,content_type,retrieval_method,raw_bytes,raw_sha256,extraction_method,pages,text_chars,text_words,text_sha256,error
NGO-SAT-001,acquired_extracted,Update on the Criminal Proceedings against the police for the killing of 37 Miners on 13 & 16 August 2012,2018,Socio-Economic Rights Institute of South Africa,expanded_ngo_candidates_saturation.csv,https://www.seri-sa.org/index.php/more-news/822-marikana-update-on-the-criminal-proceedings-against-the-police-for-the-killing-of-37-miners-on-13-16-august-2012-13-august-2018,https://www.seri-sa.org/index.php/more-news/822-marikana-update-on-the-criminal-proceedings-against-the-police-for-the-killing-of-37-miners-on-13-16-august-2012-13-august-2018,200,text/html,http,30677,e7a0abf86a141e35e8179e182d4553d93c268a4346a643b4289cce5f87bc87c8,trafilatura,,3863,651,d17e0b27515fe8d5c609741dd54e7522d3a7fe40f76d38fd287a9804d938e0e0,
NGO-SAT-002,acquired_extracted,Mining Forum of South Africa and another v Minister of Mineral Resources and others,2019,High Court of South Africa / CER legal archive,expanded_ngo_candidates_saturation.csv,https://cer.org.za/virtual-library/judgments/high-courts/mining-forum-of-south-africa-and-another-v-minister-of-mineral-resources-and-others,https://cer.org.za/virtual-library/judgments/high-courts/mining-forum-of-south-africa-and-another-v-minister-of-mineral-resources-and-others,200,text/html,http,31770,67c6ddd6cb819174427f25197b5d4e87edf3dd35728710e27ddd11a109a09761,trafilatura,,1640,274,7036741634276ab0c8b64860b0c62ad45966efb74b4b791d352d41b909a62da1,
NGO-SAT2-001,acquired_extracted,Full Disclosure: The Truth about Corporate Environmental Compliance in South Africa,2015,Centre for Environmental Rights,expanded_ngo_candidates_saturation2.csv,https://fulldisclosure.cer.org.za/2015/download/CER-Full-Disclosure.pdf,https://fulldisclosure.cer.org.za/2015/download/CER-Full-Disclosure.pdf,200,application/pdf,http,2213241,887911061d189019796b56bc9c0d7056d5c4e183d5e3b2c08c1474d5afedd1b6,pypdf,165,598037,91846,b8c26e1e0a6aced2693559dcba0b1c338910df13cf775bff97b07f7c35318212,
SERI-SAT2-001,acquired_extracted,Department of Justice is Misleading the Public about Marikana Families,2012,Socio-Economic Rights Institute of South Africa,expanded_ngo_candidates_saturation2.csv,https://www.seri-sa.org/images/stories/press_statement_marikana_28oct12.pdf,https://www.seri-sa.org/images/stories/press_statement_marikana_28oct12.pdf,200,application/pdf,http,50735,d20aa592b96aa6a67c3bddbfdfad8acdea02c8218ed2faf52d2b79adde185204,pypdf,1,3118,517,6035dcf1d4a67a4e0c45f88e689e123d4233694a0d05a1029bce2223707df585,
SERI-SAT2-002,acquired_extracted,SERI to seek international scrutiny of police action by the Marikana Commission of Inquiry,2012,Socio-Economic Rights Institute of South Africa,expanded_ngo_candidates_saturation2.csv,https://www.seri-sa.org/images/stories/marikana_pressrelease_10oct12.pdf,https://www.seri-sa.org/images/stories/marikana_pressrelease_10oct12.pdf,200,application/pdf,http,103830,7f313945c02a26ce7b0a43e7a8676241df2026dedc43748bfb4a14a1f9db55fb,pypdf,1,2417,378,100b7281d8a49b258ba5f8eef4f1f3e708f67103af4ca4e2b0a5365ba8db3ec0,
SERI-SAT2-003,acquired_extracted,Families to make closing arguments before the Marikana Commission,2014,Socio-Economic Rights Institute of South Africa,expanded_ngo_candidates_saturation2.csv,https://www.seri-sa.org/images/Marikana_press_statement_10Nov14.pdf,https://www.seri-sa.org/images/Marikana_press_statement_10Nov14.pdf,200,application/pdf,http,153643,5c424b498067cf90b6342441f91ac83101b9b1dfe3459ae234e64b25a20a97a9,pypdf,2,8440,1409,50c452469f8e3eebe469b8cb526f087bf86836b5c161ace6ff6e05c75d572583,
SERI-SAT2-004,acquired_extracted,Marikana legal funding: correcting inaccurate reports,2014,Socio-Economic Rights Institute of South Africa,expanded_ngo_candidates_saturation2.csv,https://www.seri-sa.org/images/Marikana_PressStatement_20Jul14.pdf,https://www.seri-sa.org/images/Marikana_PressStatement_20Jul14.pdf,200,application/pdf,http,97822,38552c1119c42d70ae1e5c346c1043b29a8ae741b6d27460a0af32cdd280d734,pypdf,1,3800,667,6f5875c95711b24c9c1eff3ff75e9da1c2b489a16dbd32bdbf053c7a1910f8f2,
expanded_official_candidates__EXP-OFFICIAL-001,acquired_extracted,David Bruce Submissions to the Marikana Commission,2014,David Bruce / Marikana Commission,expanded_official_candidates.csv,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DaveBruce.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-DaveBruce.pdf,200,application/pdf,http,1405281,ac4c7b0231bfc7bbaa86bd41c78f50d4b6ed30d2bc6bb742f06d04bd403ba107,pypdf,65,176973,28695,2881c9c4a98a3e53d0dc7f3e6c4344888db7deb26c2e287d19e4ab1c74d12959,
expanded_official_candidates__EXP-OFFICIAL-002,acquired_extracted,Mabelane Fundi Heads of Argument,2014,Mabelane Fundi / Marikana Commission,expanded_official_candidates.csv,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-MabelaneFundi.pdf,https://www.justice.gov.za/comm-mrk/docs/201411-HoA-MabelaneFundi.pdf,200,application/pdf,http,271127,7a79fd4cb10bf9302cc91d63f490a223ac789cbd63e308da7706608ebd7f00cc,pypdf,53,50386,8164,1a951750ceb240b663ed8eea08ffb98c3de693f4370248569d6c287d8d6be25c,
expanded_official_candidates__EXP-OFFICIAL-003,acquired_extracted,How can the South African Police Service prevent another Marikana?,2014,Gareth Newham / Institute for Security Studies,expanded_official_candidates.csv,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Newham.pdf,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Newham.pdf,200,application/pdf,http,258758,9e12036137ed5214d6b377f083ac23ba848d15dc3434d667719f297c0e94475b,pypdf,21,11654,1740,c6c124a261234f471b6f92f7ed979a77adf3dfa6bb579e1014a019ae72d83511,
expanded_official_candidates__EXP-OFFICIAL-004,acquired_extracted,Explaining violence in strikes,2014,Crispen Chinguno / SWOP,expanded_official_candidates.csv,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Chinguno.pdf,https://www.justice.gov.za/comm-mrk/docs/20140409-SeminarPhase02-Chinguno.pdf,200,application/pdf,http,145320,3d7bb24dad995a860577bd2062b226b8aa3025fa7d630ec7ac1a770b5154c41f,pypdf,20,8900,1271,69c58b25d169c562e7eb71d4e5049830ae2e97abeaaa9577afd59a75a060a2fe,
